border,arm,draw,gas_sigma,co2_sigma,mean_spread,separated_pct,hours
DE_LU-NL,ntc,17,0.238674,0.350753,4.209223,19.444444,288
DE_LU-BE,ntc,17,0.238674,0.350753,7.111173,28.472222,288
DE_LU-AT,ntc,17,0.238674,0.350753,3.655104,13.194444,288
DE_LU-CH,ntc,17,0.238674,0.350753,5.054444,23.611111,288
FR-BE,ntc,17,0.238674,0.350753,-10.607355,41.319444,288
FR-CH,ntc,17,0.238674,0.350753,-12.664084,35.069444,288
NL-BE,ntc,17,0.238674,0.350753,2.901949,22.916667,288
AT-CH,ntc,17,0.238674,0.350753,1.399340,19.444444,288
AT-CZ,ntc,17,0.238674,0.350753,-6.524122,38.541667,288
CZ-PL,ntc,17,0.238674,0.350753,-6.134308,42.708333,288
DE_LU-FR,ntc,18,-2.083870,0.171015,15.772093,68.750000,288
DE_LU-PL,ntc,18,-2.083870,0.171015,-17.399932,77.083333,288
DE_LU-CZ,ntc,18,-2.083870,0.171015,-7.193283,38.888889,288
DE_LU-NL,ntc,18,-2.083870,0.171015,5.614962,26.736111,288
DE_LU-BE,ntc,18,-2.083870,0.171015,8.125335,38.194444,288
DE_LU-AT,ntc,18,-2.083870,0.171015,4.773619,15.277778,288
DE_LU-CH,ntc,18,-2.083870,0.171015,5.113723,25.694444,288
FR-BE,ntc,18,-2.083870,0.171015,-7.646758,47.916667,288
FR-CH,ntc,18,-2.083870,0.171015,-10.658371,45.833333,288
NL-BE,ntc,18,-2.083870,0.171015,2.510373,29.166667,288
AT-CH,ntc,18,-2.083870,0.171015,0.340103,22.569444,288
AT-CZ,ntc,18,-2.083870,0.171015,-11.966902,47.916667,288
CZ-PL,ntc,18,-2.083870,0.171015,-10.206648,59.027778,288
DE_LU-FR,ntc,19,-0.569262,0.276542,16.659220,64.583333,288
DE_LU-PL,ntc,19,-0.569262,0.276542,-11.404016,61.111111,288
DE_LU-CZ,ntc,19,-0.569262,0.276542,-4.322692,34.027778,288
DE_LU-NL,ntc,19,-0.569262,0.276542,4.550701,22.569444,288
DE_LU-BE,ntc,19,-0.569262,0.276542,7.378188,34.722222,288
DE_LU-AT,ntc,19,-0.569262,0.276542,4.127633,15.277778,288
DE_LU-CH,ntc,19,-0.569262,0.276542,4.979673,25.000000,288
FR-BE,ntc,19,-0.569262,0.276542,-9.281031,45.486111,288
FR-CH,ntc,19,-0.569262,0.276542,-11.679547,41.666667,288
NL-BE,ntc,19,-0.569262,0.276542,2.827487,25.694444,288
AT-CH,ntc,19,-0.569262,0.276542,0.852040,22.222222,288
AT-CZ,ntc,19,-0.569262,0.276542,-8.450325,44.097222,288
CZ-PL,ntc,19,-0.569262,0.276542,-7.081325,51.388889,288
DE_LU-FR,ntc,20,-1.368704,0.548568,17.044810,65.972222,288
DE_LU-PL,ntc,20,-1.368704,0.548568,-14.622287,70.833333,288
DE_LU-CZ,ntc,20,-1.368704,0.548568,-5.922835,36.805556,288
DE_LU-NL,ntc,20,-1.368704,0.548568,5.414258,23.958333,288
DE_LU-BE,ntc,20,-1.368704,0.548568,8.232341,35.763889,288
DE_LU-AT,ntc,20,-1.368704,0.548568,4.653571,15.277778,288
DE_LU-CH,ntc,20,-1.368704,0.548568,5.302627,25.000000,288
FR-BE,ntc,20,-1.368704,0.548568,-8.812469,46.875000,288
FR-CH,ntc,20,-1.368704,0.548568,-11.742183,43.750000,288
NL-BE,ntc,20,-1.368704,0.548568,2.818083,26.736111,288
AT-CH,ntc,20,-1.368704,0.548568,0.649056,21.875000,288
AT-CZ,ntc,20,-1.368704,0.548568,-10.576406,45.833333,288
CZ-PL,ntc,20,-1.368704,0.548568,-8.699452,54.861111,288
DE_LU-FR,ntc,21,-0.826108,-2.747357,10.482853,59.375000,288
DE_LU-PL,ntc,21,-0.826108,-2.747357,-7.439562,51.388889,288
